id,Date,Price,,,,,,
,01.04.2016,"8,87",,,,,,
,01.05.2016,"14,01","0,579481397970688",,,Monthly mean,"10,67%","0,1067"
,01.06.2016,"12,50","-0,107780157030692",,,Monthly stdev,"38,45%","0,3845"
,01.07.2016,"11,86","-0,0512",,,,,
,01.08.2016,"11,63","-0,0193929173693085",,,Yearly mean,"237,55%","2,3755"
,01.09.2016,"13,30","0,143594153052451",,,Yearly stdev,"133,20%","1,3320"
,01.10.2016,"10,96","-0,17593984962406",,,,,
,01.11.2016,"8,62","-0,213503649635037",,,,,
,01.12.2016,"8,00","-0,0719257540603247",,,,,
,01.01.2017,"10,71","0,33875",,,,,
,01.02.2017,"15,86","0,480859010270775",,,,,
,01.03.2017,"49,72","2,13493064312736",,,,,
,01.04.2017,"83,51","0,679605792437651",,,,,
,01.05.2017,"218,34","1,61453718117591",,,,,
,01.06.2017,"275,62","0,262343134560777",,,,,
,01.07.2017,"200,81","-0,271424424932879",,,,,
,01.08.2017,"387,30","0,928688810318211",,,,,
,01.09.2017,"303,44","-0,216524657887942",,,,,
,01.10.2017,"303,69","0,000823886105984709",,,,,
,01.11.2017,"432,21","0,423194705126939",,,,,
,01.12.2017,"736,77","0,704657458180051",,,,,
,01.01.2018,"1.118,08","0,517542788115694",,,,,
,01.02.2018,"852,49","-0,237541141957642",,,,,
,01.03.2018,"393,96","-0,537871411981372",,,,,
,01.04.2018,"670,07","0,700857955122348",,,,,
,01.05.2018,"577,87","-0,137597564433567",,,,,
,01.06.2018,"452,67","-0,216657725786076",,,,,
,01.07.2018,"431,50","-0,0467669604789361",,,,,
,01.08.2018,"281,94","-0,346604866743917",,,,,
,01.09.2018,"232,80","-0,174292402638859",,,,,
,01.10.2018,"198,59","-0,146950171821306",,,,,
,01.11.2018,"113,77","-0,427111133491112",,,,,
,01.12.2018,"131,90","0,159356596642349",,,,,
,01.01.2019,"106,71","-0,190978013646702",,,,,
,01.02.2019,"135,47","0,269515509324337",,,,,
,01.03.2019,"141,79","0,0466523953642872",,,,,
,01.04.2019,"161,80","0,141124197757247",,,,,
,01.05.2019,"267,99","0,656304079110012",,,,,
,01.06.2019,"292,21","0,0903765065860665",,,,,
,01.07.2019,"217,23","-0,256596283494747",,,,,
,01.08.2019,"171,62","-0,209961791649404",,,,,
,01.09.2019,"180,35","0,0508681971798158",,,,,
,01.10.2019,"182,37","0,0112004435819241",,,,,
,01.11.2019,"151,95","-0,166803750616878",,,,,
,01.12.2019,"129,21","-0,149654491609082",,,,,
,01.01.2020,"179,91","0,392384490364523",,,,,
,01.02.2020,"217,52","0,209048968928909",,,,,
,01.03.2020,"132,86","-0,389205590290548",,,,,
,01.04.2020,"206,22","0,552160168598525",,,,,
,01.05.2020,"231,81","0,124090776840268",,,,,
,01.06.2020,"225,63","-0,0266597644622752",,,,,
,01.07.2020,"346,51","0,535744360235784",,,,,
,01.08.2020,"433,90","0,252200513693688",,,,,
,01.09.2020,"359,39","-0,17172159483752",,,,,
,01.10.2020,"386,42","0,0752107738111802",,,,,
,01.11.2020,"615,92","0,593913358521816",,,,,
,01.12.2020,"735,94","0,194862969216782",,,,,
,01.01.2021,"1.312,73","0,783745957550887",,,,,
,01.02.2021,"1.418,76","0,0807706078172968",,,,,
,01.03.2021,"1.917,99","0,35187769601624",,,,,
,01.04.2021,"2.772,78","0,445669685451958",,,,,
,01.05.2021,"2.708,47","-0,0231933294383256",,,,,
,01.06.2021,"2.273,84","-0,160470671633801",,,,,
,01.07.2021,"2.532,19","0,113618372444851",,,,,
,01.08.2021,"3.430,74","0,354850939305502",,,,,
,01.09.2021,"3.000,59","-0,125381113112623",,,,,
,01.10.2021,"4.287,56","0,428905648555784",,,,,
,01.11.2021,"4.628,90","0,0796117138885518",,,,,
,01.12.2021,"3.677,85","-0,205459180366826",,,,,
,01.01.2022,"2.686,82","-0,269459058961078",,,,,
,01.02.2022,"2.922,50","0,0877170781816422",,,,,
,01.03.2022,"3.282,35","0,123130881094953",,,,,
,01.04.2022,"2.727,18","-0,169137965177388",,,,,
,01.05.2022,"1.941,79","-0,287986124861579",,,,,
,01.06.2022,"1.069,05","-0,449451279489543",,,,,
,01.07.2022,"1.680,00","0,571488704924933",,,,,
,01.08.2022,"1.555,12","-0,0743333333333334",,,,,
,01.09.2022,"1.328,73","-0,14557719018468",,,,,
,01.10.2022,"1.572,89","0,183754412107802",,,,,
,01.11.2022,"1.294,41","-0,177049889057722",,,,,
,01.12.2022,"1.195,67","-0,0762818581438648",,,,,
,01.01.2023,"1.585,27","0,32584241471309",,,,,
,01.02.2023,"1.604,69","0,0122502791322614",,,,,
,01.03.2023,"1.821,62","0,135184989000991",,,,,
,01.04.2023,"1.868,88","0,0259439400094423",,,,,
,01.05.2023,"1.873,63","0,00254162921107829",,,,,
,01.06.2023,"1.933,80","0,0321141313920037",,,,,
,01.07.2023,"1.856,17","-0,040143758403144",,,,,
,01.08.2023,"1.645,82","-0,113324749349467",,,,,
,01.09.2023,"1.670,92","0,0152507564618246",,,,,
,01.10.2023,"1.815,13","0,0863057477317885",,,,,
,01.11.2023,"2.051,56","0,130255133241145",,,,,
,01.12.2023,"2.281,90","0,112275536664782",,,,,
,01.01.2024,"2.283,14","0,000543406810114283",,,,,
,01.02.2024,"3.339,26","0,462573473374388",,,,,
,01.03.2024,"3.647,09","0,0921850949012655",,,,,
,01.04.2024,"3.014,41","-0,173475291259607",,,,,
,01.05.2024,"3.762,66","0,248224362313023",,,,,
,01.06.2024,"3.437,84","-0,0863272259518531",,,,,
,01.07.2024,"3.231,84","-0,0599213459614176",,,,,
,01.08.2024,"2.513,56","-0,22225110153968",,,,,
,01.09.2024,"2.603,48","0,0357739620299496",,,,,
,01.10.2024,"2.519,14","-0,0323951019404797",,,,,
,01.11.2024,"3.702,97","0,469934183888152",,,,,
,01.12.2024,"3.337,80","-0,0986154357178156",,,,,
,01.01.2025,"3.298,69","-0,0117172988195818",,,,,
,01.02.2025,"2.236,41","-0,322030866798638",,,,,
,01.03.2025,"1.821,95","-0,185323800197638",,,,,
,01.04.2025,"1.793,58","-0,0155712286286672",,,,,
,01.05.2025,"2.615,45","0,45822879380903",,,,,
