Date,Price
05/01/2025,"2498,7"
04/01/2025,"1793,58"
03/01/2025,"1821,95"
02/01/2025,"2236,41"
01/01/2025,"3298,69"
12/01/2024,"3337,8"
11/01/2024,"3702,97"
10/01/2024,"2519,14"
09/01/2024,"2603,48"
08/01/2024,"2513,56"
07/01/2024,"3231,84"
06/01/2024,"3437,84"
05/01/2024,"3762,66"
04/01/2024,"3014,41"
03/01/2024,"3647,09"
02/01/2024,"3339,26"
01/01/2024,"2283,14"
12/01/2023,"2281,9"
11/01/2023,"2051,56"
10/01/2023,"1815,13"
09/01/2023,"1670,92"
08/01/2023,"1645,82"
07/01/2023,"1856,17"
06/01/2023,"1933,8"
05/01/2023,"1873,63"
04/01/2023,"1868,88"
03/01/2023,"1821,62"
02/01/2023,"1604,69"
01/01/2023,"1585,27"
12/01/2022,"1195,67"
11/01/2022,"1294,41"
10/01/2022,"1572,89"
09/01/2022,"1328,73"
08/01/2022,"1555,12"
07/01/2022,1680
06/01/2022,"1069,05"
05/01/2022,"1941,79"
04/01/2022,"2727,18"
03/01/2022,"3282,35"
02/01/2022,"2922,5"
01/01/2022,"2686,82"
12/01/2021,"3677,85"
11/01/2021,"4628,9"
10/01/2021,"4287,56"
09/01/2021,"3000,59"
08/01/2021,"3430,74"
07/01/2021,"2532,19"
06/01/2021,"2273,84"
05/01/2021,"2708,47"
04/01/2021,"2772,78"
03/01/2021,"1917,99"
02/01/2021,"1418,76"
01/01/2021,"1312,73"
12/01/2020,"735,94"
11/01/2020,"615,92"
10/01/2020,"386,42"
09/01/2020,"359,39"
08/01/2020,"433,9"
07/01/2020,"346,51"
06/01/2020,"225,63"
05/01/2020,"231,81"
04/01/2020,"206,22"
03/01/2020,"132,86"
02/01/2020,"217,52"
01/01/2020,"179,91"
12/01/2019,"129,21"
11/01/2019,"151,95"
10/01/2019,"182,37"
09/01/2019,"180,35"
08/01/2019,"171,62"
07/01/2019,"217,23"
06/01/2019,"292,21"
05/01/2019,"267,99"
04/01/2019,"161,8"
03/01/2019,"141,79"
02/01/2019,"135,47"
01/01/2019,"106,71"
12/01/2018,"131,9"
11/01/2018,"113,77"
10/01/2018,"198,59"
09/01/2018,"232,8"
08/01/2018,"281,94"
07/01/2018,"431,5"
06/01/2018,"452,67"
05/01/2018,"577,87"
04/01/2018,"670,07"
03/01/2018,"393,96"
02/01/2018,"852,49"
01/01/2018,"1118,08"
12/01/2017,"736,77"
11/01/2017,"432,21"
10/01/2017,"303,69"
09/01/2017,"303,44"
08/01/2017,"387,3"
07/01/2017,"200,81"
06/01/2017,"275,62"
05/01/2017,"218,34"
04/01/2017,"83,51"
03/01/2017,"49,72"
02/01/2017,"15,86"
01/01/2017,"10,71"
12/01/2016,8
11/01/2016,"8,62"
10/01/2016,"10,96"
09/01/2016,"13,3"
08/01/2016,"11,63"
07/01/2016,"11,86"
06/01/2016,"12,5"
05/01/2016,"14,01"
04/01/2016,"8,87"
