Id,Data,Price
110,01.04.2016,17819
109,01.05.2016,16018
108,01.06.2016,18623
107,01.07.2016,20393
106,01.08.2016,18675
105,01.09.2016,19214
104,01.10.2016,17835
103,01.11.2016,16454
102,01.12.2016,15989
101,01.01.2017,17577
100,01.02.2017,18469
99,01.03.2017,18294
98,01.04.2017,17262
97,01.05.2017,17443
96,01.06.2017,16627
95,01.07.2017,16835
94,01.08.2017,17541
93,01.09.2017,16676
92,01.10.2017,16726
91,01.11.2017,16445
90,01.12.2017,17145
89,01.01.2018,17284
88,01.02.2018,16407
87,01.03.2018,16312
86,01.04.2018,16401
85,01.05.2018,16503
84,01.06.2018,16198
83,01.07.2018,15597
82,01.08.2018,14517
81,01.09.2018,14712
80,01.10.2018,14324
79,01.11.2018,14180
78,01.12.2018,17699
77,01.01.2019,18231
76,01.02.2019,17710
75,01.03.2019,17031
74,01.04.2019,16857
73,01.05.2019,16187
72,01.06.2019,16741
71,01.07.2019,17852
70,01.08.2019,19567
69,01.09.2019,18395
68,01.10.2019,19451
67,01.11.2019,18378
66,01.12.2019,19156
65,01.01.2020,19224
64,01.02.2020,17570
63,01.03.2020,15016
62,01.04.2020,15953
61,01.05.2020,19473
60,01.06.2020,19753
59,01.07.2020,25770
58,01.08.2020,29744
57,01.09.2020,24595
56,01.10.2020,24761
55,01.11.2020,23464
54,01.12.2020,27228
53,01.01.2021,27688
52,01.02.2021,27862
51,01.03.2021,25965
50,01.04.2021,27225
49,01.05.2021,29326
48,01.06.2021,27356
47,01.07.2021,26137
46,01.08.2021,24523
45,01.09.2021,22484
44,01.10.2021,24373
43,01.11.2021,23324
42,01.12.2021,23890
41,01.01.2022,22992
40,01.02.2022,25087
39,01.03.2022,26112
38,01.04.2022,24063
37,01.05.2022,22785
36,01.06.2022,21303
35,01.07.2022,21064
34,01.08.2022,18657
33,01.09.2022,19704
32,01.10.2022,19970
31,01.11.2022,22603
30,01.12.2022,24881
29,01.01.2023,24742
28,01.02.2023,21720
27,01.03.2023,24851
26,01.04.2023,25773
25,01.05.2023,24135
24,01.06.2023,23337
23,01.07.2023,25335
22,01.08.2023,24812
21,01.09.2023,22450
20,01.10.2023,22952
19,01.11.2023,25293
18,01.12.2023,24086
17,01.01.2024,23282
16,01.02.2024,22885
15,01.03.2024,25042
14,01.04.2024,26532
13,01.05.2024,30440
12,01.06.2024,29388
11,01.07.2024,28938
10,01.08.2024,28865
9,01.09.2024,31458
8,01.10.2024,32796
7,01.11.2024,30835
6,01.12.2024,29098
5,01.01.2025,32265
4,01.02.2025,31346
3,01.03.2025,34611
2,01.04.2025,32679
1,01.05.2025,33482
